Algoritmo;Threads;Input_Expressao;Repeticao;Tempo;Expressao_Encontrada;Literais;Clock_Time;Service_Time;Wait_Time
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));14;0,427593;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,438705;0,200004;0,097281
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));15;0,413936;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,424759;0,193608;0,095501
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));16;0,415260;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,426192;0,195140;0,095562
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));17;0,406703;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,417230;0,188506;0,095374
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));18;0,424317;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,435479;0,199614;0,096337
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));19;0,411427;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,422208;0,192897;0,095304
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));20;0,436547;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,424757;0,202746;0,101354
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));1;0,537264;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;1,038088;0,302027;0,515133
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));2;0,444391;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,861289;0,246595;0,434182
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));3;0,430405;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,831504;0,232004;0,419916
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));4;0,471687;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,913639;0,265970;0,457193
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));5;0,469809;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,907635;0,266591;0,453593
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));6;0,502541;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,972533;0,278965;0,486078
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));7;0,463256;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,969579;0,261777;0,443349
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));8;0,415979;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,871882;0,236028;0,405646
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));9;0,409783;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,856828;0,233723;0,398665
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));10;0,424481;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,887497;0,237779;0,412442
